co2_ppm,state,mean_conv_time_yr,mean_edge_dist,ellipsoid_volume_1sigma,ellipse_long_axis_1sigma,mean_amoc_strength_Sv
285,AMOC-on,96.6,0.05351698825756218,3.543590878769135e-5,63.52092293089886,14.722720371666233
285,AMOC-off,326.0,0.5160805425442639,6.085139878030608e-5,140.94931034049088,1.1160942895740924
360,AMOC-on,160.71428571428572,0.11138242348617143,1.6797186774452582e-5,49.89463573652735,15.02632493789004
360,AMOC-off,175.3125,0.38851043805364666,0.0006315661126097033,174.57735820298643,1.682273208496893
