state,x,y
on,35.499590396088,36.10375172938864
on,35.49677961143918,36.10331768290135
on,35.493961918648836,36.102970709352945
on,35.49114504081706,36.10271175977381
on,35.48833669881018,36.10254154392674
on,35.48554459009844,36.10246052836155
on,35.48277636765774,36.10246893513626
on,35.48003961899337,36.10256674120849
on,35.47734184534319,36.102753678498594
on,35.47469044111726,36.10302923462446
on,35.472092673630264,36.103392654305885
on,35.46955566318232,36.1038429414348
on,35.467086363542705,36.10437886180548
on,35.46469154289011,36.104998946497425
on,35.46237776526147,36.10570149590162
on,35.460151372560446,36.10648458437896
on,35.45801846717467,36.10734606553837
on,35.45598489524954,36.10828357811988
on,35.45405623066437,36.109294552466665
on,35.45223775975472,36.1103762175683
on,35.45053446682295,36.111525608655946
on,35.44895102047659,36.11273957532851
on,35.447491760832015,36.11401479018774
on,35.44616068761848,36.115347757958325
on,35.44496144921514,36.11673482506828
on,35.443897332651105,36.11817218966305
on,35.442971254595896,36.11965591202621
on,35.44218575336511,36.12118192537788
on,35.44154298196301,36.12274604702155
on,35.44104470218134,36.12434398980851
on,35.44069227977033,36.12597137388864
on,35.44048668069533,36.12762373871531
on,35.4404284684891,36.129296555271374
on,35.44051780270726,36.130985238482936
on,35.44075443849093,36.13268515978669
on,35.44113772723786,36.134391659816494
on,35.44166661838025,36.136100061174396
on,35.44233966226424,36.137805681251024
on,35.44315501412333,36.13950384506029
on,35.44411043913473,36.14118989805324
on,35.44520331854492,36.14285921887582
on,35.44643065684738,36.14450723203568
on,35.44778908999315,36.14612942044331
on,35.44927489461139,36.14772133779303
on,35.450883998214934,36.149278620750046
on,35.452611990362634,36.15079700091002
on,35.45445413474813,36.15227231649847
on,35.456405382181714,36.15370052377791
on,35.45846038442979,36.15507770813147
on,35.46061350887404,36.156400094792566
on,35.46285885395003,36.15766405919127
on,35.46519026532298,36.158866136889024
on,35.46760135275637,36.16000303307442
on,35.470085507627125,36.16107163159403
on,35.472635921039426,36.162069003493585
on,35.47524560248739,36.16299241504605
on,35.47790739901556,36.16383933524454
on,35.48061401482467,36.16460744273965
on,35.48335803126892,36.16529463220214
on,35.48613192718998,36.165899020093455
on,35.48892809953194,36.16641894982839
on,35.49173888418076,36.16685299631568
on,35.49455657697111,36.167199969864086
on,35.49737345480288,36.16745891944322
on,35.50018179680976,36.16762913529029
on,35.5029739055215,36.167710150855484
on,35.5057421279622,36.16770174408077
on,35.50847887662657,36.16760393800854
on,35.51117665027675,36.16741700071844
on,35.51382805450268,36.16714144459257
on,35.51642582198968,36.166778024911146
on,35.51896283243762,36.16632773778223
on,35.52143213207724,36.16579181741155
on,35.523826952729834,36.16517173271961
on,35.52614073035847,36.16446918331541
on,35.528367123059496,36.16368609483807
on,35.530500028445275,36.16282461367866
on,35.5325336003704,36.16188710109715
on,35.53446226495557,36.16087612675037
on,35.53628073586522,36.15979446164873
on,35.53798402879699,36.158645070561086
on,35.53956747514335,36.15743110388852
on,35.54102673478793,36.15615588902929
on,35.54235780800146,36.154822921258706
on,35.5435570464048,36.15343585414875
on,35.54462116296884,36.15199848955398
on,35.545547241024046,36.15051476719082
on,35.54633274225483,36.14898875383915
on,35.54697551365693,36.14742463219548
