state,x,y
on,35.49036578760276,36.0065814465831
on,35.48776247968589,36.00522833503974
on,35.48511757790933,36.00396882152867
on,35.48243833176499,36.00280635828889
on,35.47973208488033,36.001744131551334
on,35.47700625488996,36.00078505280565
on,35.4742683131044,35.99993175082002
on,35.47152576403178,35.99918656443587
on,35.46878612480847,35.99855153615728
on,35.466056904595156,35.99802840655263
on,35.46334558399473,35.997618609483794
on,35.46065959454851,35.99732326817607
on,35.45800629836685,35.99714319213943
on,35.45539296795017,35.99707887494979
on,35.45282676625548,35.99713049289609
on,35.45031472706326,35.99729790449714
on,35.44786373569832,35.997580650889354
on,35.44548051015763,35.99797795708454
on,35.443171582696735,35.99848873409403
on,35.44094328192532,35.999111581913546
on,35.43880171546091,35.99984479336051
on,35.43675275318832,36.00068635875331
on,35.43480201117073,36.0016339714197
on,35.43295483625641,36.00268503401922
on,35.4312162914234,36.00383666566236
on,35.429591141902236,36.00508570980682
on,35.42808384211481,36.006428742909435
on,35.42669852346506,36.00786208380981
on,35.42543898301511,36.009381803820176
on,35.424308673077796,36.01098373749362
on,35.42331069175407,36.01266349404128
on,35.42244777444139,36.01441646936723
on,35.42172228633611,36.01623785868794
on,35.42113621595072,36.01812266970189
on,35.42069116966339,36.020065736273104
on,35.42038836731507,36.022061732591176
on,35.42022863886595,36.024105187768924
on,35.4202124221206,36.02619050083776
on,35.420339761528,36.02831195609949
on,35.42061030805967,36.030463738792726
on,35.42102332016639,36.03263995103066
on,35.42157766581067,36.03483462796682
on,35.422271825569645,36.037041754144276
on,35.42310389679966,36.03925527998358
on,35.4240715988513,36.04146913836428
on,35.42517227932052,36.04367726125442
on,35.426402921318655,36.045873596342666
on,35.42776015174152,36.048052123627194
on,35.42924025051489,36.050206871916146
on,35.43083916079088,36.05233193519424
on,35.43255250006758,36.05442148881073
on,35.43437557220112,36.05646980544441
on,35.4363033802775,36.05847127080175
on,35.43833064030879,36.06042039900535
on,35.44045179571615,36.06231184763026
on,35.44266103256005,36.06414043234729
on,35.44495229547587,36.06590114113282
on,35.44731930427121,36.06758914800646
on,35.449755571139505,36.06919982625871
on,35.45225441844259,36.07072876113243
on,35.45480899701372,36.0721717619234
on,35.45741230493059,36.07352487346676
on,35.460057206707155,36.074784386977825
on,35.462736452851495,36.075946850217605
on,35.46544269973615,36.077009076955164
on,35.468168529726526,36.07796815570085
on,35.47090647151208,36.07882145768648
on,35.4736490205847,36.07956664407063
on,35.476388659808016,36.08020167234922
on,35.47911788002133,36.08072480195387
on,35.48182920062175,36.081134599022704
on,35.484515190067974,36.08142994033043
on,35.48716848624964,36.081610016367065
on,35.489781816666316,36.081674333556705
on,35.49234801836101,36.08162271561041
on,35.494860057553225,36.08145530400936
on,35.497311048918164,36.081172557617144
on,35.499694274458854,36.08077525142196
on,35.50200320191975,36.080264474412466
on,35.50423150269116,36.07964162659295
on,35.50637306915557,36.07890841514599
on,35.50842203142816,36.078066849753185
on,35.51037277344575,36.0771192370868
on,35.51221994836008,36.076068174487276
on,35.51395849319309,36.074916542844136
on,35.51558364271425,36.07366749869968
on,35.517090942501675,36.07232446559706
on,35.51847626115142,36.070891124696686
on,35.51973580160137,36.06937140468632
on,35.52086611153869,36.06776947101288
on,35.521864092862415,36.06608971446522
on,35.522727010175096,36.06433673913927
on,35.52345249828037,36.06251534981856
on,35.524038568665766,36.06063053880461
on,35.52448361495309,36.058687472233395
on,35.524786417301414,36.05669147591532
on,35.52494614575053,36.054648020737574
on,35.524962362495884,36.05256270766874
on,35.524835023088485,36.050441252407005
on,35.52456447655681,36.04828946971377
on,35.52415146445009,36.04611325747584
on,35.52359711880581,36.043918580539675
on,35.52290295904684,36.04171145436222
on,35.522070887816824,36.03949792852292
on,35.521103185765185,36.03728407014222
on,35.52000250529596,36.035075947252075
on,35.51877186329783,36.03287961216383
on,35.51741463287496,36.030701084879304
on,35.515934534101596,36.02854633659035
on,35.5143356238256,36.02642127331226
on,35.512622284548904,36.024331719695766
on,35.510799212415364,36.02228340306209
on,35.50887140433898,36.020281937704745
on,35.50684414430769,36.018332809501146
on,35.50472298890033,36.016441360876236
on,35.50251375205643,36.01461277615921
on,35.50022248914061,36.01285206737368
on,35.49785548034527,36.011164060500036
on,35.49541921347698,36.00955338224779
on,35.49292036617389,36.00802444737407
on,35.49036578760276,36.0065814465831
off,35.19774571709301,36.3135751985021
off,35.18896404243636,36.31119767062909
off,35.18016169663292,36.30898614565344
off,35.17136280630069,36.30694668521139
off,35.16259148858646,36.30508487932226
off,35.15387178506241,36.30340583106657
off,35.14522759582978,36.30191414259888
off,35.13668261401042,36.3006139025336
off,35.12826026080554,36.29950867473836
off,35.11998362129985,36.29860148856574
off,35.11187538118693,36.297894830549964
off,35.10395776458932,36.29739063759154
off,35.09625247314378,36.297090291648324
off,35.08878062651857,36.296994615947675
off,35.081562704525936,36.29710387273003
off,35.074618490988335,36.29741776253013
off,35.0679670195124,36.29793542499788
off,35.0616265213191,36.298655441256415
off,35.055614375273265,36.29957583779123
off,35.0499470602493,36.3006940918594
off,35.04464010996376,36.30200713840424
off,35.0397080703985,36.30351137845645
off,35.03516445993114,36.305202688998605
off,35.031021732282156,36.307076434266065
off,35.027291242380066,36.309127478453306
off,35.023983215238395,36.311350199790766
off,35.021106717929605,36.31373850595376
off,35.018669634732866,36.316285850761105
off,35.016678645523825,36.31898525211775
off,35.015139207465516,36.32182931115221
off,35.01405554005065,36.324810232496354
off,35.01343061353628,36.327919845651984
off,35.01326614080255,36.331149627385585
off,35.01356257265779,36.33449072508993
off,35.01431909660289,36.33793398104844
off,35.015533639058305,36.34146995753588
off,35.01720287104757,36.34508896268647
off,35.01932221732185,36.348781077058646
off,35.02188586890031,36.35253618082356
off,35.02488679899218,36.3563439815028
off,35.02831678225666,36.36019404217939
off,35.03216641734804,36.364075810104616
off,35.03642515268412,36.367978645622415
off,35.041081315367364,36.37189185133193
off,35.0461221431795,36.3758047014083
off,35.0515338195619,36.37970647100145
off,35.057301511485726,36.38358646563213
off,35.06340941010835,36.38743405050476
off,35.069840774104186,36.39123867965664
off,35.076577975551565,36.39498992486372
off,35.08360254824962,36.39867750422364
off,35.09089523833286,36.402291310337695
off,35.09843605704467,36.40582143801451
off,35.10620433552512,36.409258211419505
off,35.114178781462854,36.41259221059567
